imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0366627,The Jacket,2005,John Maybury,US,29000000.0,6300000.0,"Drama, Fantasy, Mystery",2005-03-04,,
tt0366777,Millions,2004,Danny Boyle,GB,-1.0,6600000.0,"Comedy, Crime, Drama",2004-04-29,,
tt0367027,Shortbus,2006,John Cameron Mitchell,CA,2000000.0,2000000.0,"Comedy, Drama",2006-05-20,,
tt0367085,Soul Plane,2004,Jessy Terrero,US,16000000.0,14000000.0,Comedy,2004-05-28,,
tt0367089,The Squid and the Whale,2005,Noah Baumbach,US,1500000.0,7400000.0,"Comedy, Drama",2005-10-05,,
tt0367110,Swades,2004,Ashutosh Gowariker,IN,-1.0,1200000.0,Drama,2004-12-17,,
tt0367479,After the Sunset,2004,Brett Ratner,US,60000000.0,28000000.0,"Action, Comedy, Crime",2004-11-12,,
tt0367495,Anbe Sivam,2003,Sundar C.,IN,-1.0,-1.0,"Adventure, Comedy, Drama",,,
tt0367594,Charlie and the Chocolate Factory,2005,Tim Burton,US,150000000.0,206000000.0,"Adventure, Comedy, Family",2005-07-13,,
tt0367631,D.E.B.S.,2004,Angela Robinson,US,3500000.0,97000.0,"Action, Comedy, Romance",2004-01-21,,
tt0367652,Deuce Bigalow: European Gigolo,2005,Mike Bigelow,US,22000000.0,22000000.0,Comedy,2005-08-12,,
tt0367677,Dracula 3000,2004,Darrell Roodt,ZA,-1.0,-1.0,"Horror, Sci-Fi",,,
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,US,185000000.0,317000000.0,"Action, Adventure",2008-05-21,,
tt0367959,Hannibal Rising,2007,Peter Webber,GB,50000000.0,28000000.0,"Adventure, Crime, Drama",2007-02-06,,
tt0368008,The Manchurian Candidate,2004,Jonathan Demme,US,80000000.0,66000000.0,"Drama, Mystery, Sci-Fi",2004-07-30,,
tt0368222,Romance & Cigarettes,2005,John Turturro,US,-1.0,557000.0,"Comedy, Musical, Romance",2005-09-13,,
